file_name,collection_name,text_file_path
fy24-q3-quarterly-financial-report.pdf,fy24q3quarterlyfinancialreport,uploaded_files/fy24q3quarterlyfinancialreport.md
GATE _CS_2025_Syllabus.pdf,GATECS2025Syllabus,uploaded_files/GATECS2025Syllabus.md
IR_FinancialReport_77th_3Q_en.pdf,IRFinancialReport77th3Qen,uploaded_files/IRFinancialReport77th3Qen.md
MCA AR 2023-24 English Final.pdf,MCAAR202324EnglishFinal,uploaded_files/MCAAR202324EnglishFinal.md
NYSE_ATO_2023.pdf,NYSEATO2023,uploaded_files/NYSEATO2023.md
2024-07-24-financial-results-for-the-quarter-ended-june-30-2024.pdf,20240724financialresultsforthequarterendedjune302024,uploaded_files/20240724financialresultsforthequarterendedjune302024.md
Capgemini_-_2024-07-26_-_H1_2024_Results.pdf,Capgemini20240726H12024Results,uploaded_files/Capgemini20240726H12024Results.md
Meta-06-30-2024-Exhibit-99-1_Final.pdf,Meta06302024Exhibit991Final,uploaded_files/Meta06302024Exhibit991Final.md
FY24_Q4_Consolidated_Financial_Statements.pdf,FY24Q4ConsolidatedFinancialStatements,uploaded_files/FY24Q4ConsolidatedFinancialStatements.md
M&M-Q4F24-&-full-year-results-pack_0.pdf,MMQ4F24fullyearresultspack0,uploaded_files/MMQ4F24fullyearresultspack0.md
Outcome_final_2024_OCR.pdf,Outcomefinal2024OCR,uploaded_files/Outcomefinal2024OCR.md
LTIMintree.pdf,LTIMintree,uploaded_files/LTIMintree.md
